epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,8135.25,0.57925,0.37977,1.62252,0.51773,0.53982,0.48508,0.2748,1.57287,1.6325,3.10261,0.0003368,0.0003368,0.0003368
86,8230.27,0.57479,0.38101,1.60301,0.65992,0.4115,0.47058,0.27456,1.59272,1.75108,3.02401,0.000317,0.000317,0.000317
87,8325.28,0.55932,0.37441,1.6029,0.55542,0.48094,0.49418,0.29455,1.56745,1.60205,3.15843,0.0002972,0.0002972,0.0002972
88,8420.4,0.57999,0.39027,1.60147,0.6272,0.45133,0.50255,0.27901,1.66274,1.74332,3.05342,0.0002774,0.0002774,0.0002774
89,8515.68,0.57437,0.38169,1.60287,0.54896,0.53097,0.50256,0.28422,1.59561,1.64864,3.03985,0.0002576,0.0002576,0.0002576
90,8611.54,0.53138,0.3601,1.5781,0.56621,0.5,0.49159,0.28306,1.57289,1.66675,2.98565,0.0002378,0.0002378,0.0002378
91,8710.35,0.51391,0.34021,1.53918,0.58519,0.50442,0.50053,0.29838,1.52013,1.67396,2.95157,0.000218,0.000218,0.000218
92,8805.33,0.49611,0.32338,1.53435,0.62245,0.51327,0.52811,0.3008,1.55754,1.66592,2.96651,0.0001982,0.0001982,0.0001982
93,8900.12,0.50155,0.32876,1.54423,0.64626,0.47345,0.51981,0.29531,1.58145,1.61276,3.04588,0.0001784,0.0001784,0.0001784
94,8995.33,0.50136,0.33083,1.5439,0.61352,0.5177,0.51564,0.29553,1.58588,1.64684,3.14719,0.0001586,0.0001586,0.0001586
95,9090.79,0.49372,0.32623,1.54022,0.67216,0.4823,0.52339,0.30769,1.57398,1.61956,3.03632,0.0001388,0.0001388,0.0001388
96,9185.45,0.48965,0.3213,1.5345,0.67819,0.47345,0.52883,0.30779,1.5655,1.6621,3.01556,0.000119,0.000119,0.000119
97,9280.01,0.48237,0.31859,1.52627,0.59581,0.50885,0.51602,0.30325,1.57899,1.67213,3.04913,9.92E-05,9.92E-05,9.92E-05
98,9374.66,0.47392,0.31249,1.4982,0.6164,0.52212,0.52666,0.30347,1.6035,1.65126,3.10606,7.94E-05,7.94E-05,7.94E-05
99,9469.12,0.47143,0.31145,1.48421,0.6504,0.50442,0.51933,0.30441,1.61586,1.67854,3.14597,5.96E-05,5.96E-05,5.96E-05
100,9563.25,0.47604,0.31298,1.53686,0.6945,0.47788,0.51724,0.30077,1.62516,1.66607,3.13853,3.98E-05,3.98E-05,3.98E-05
